industry,deal_value,weighted_amount,date_of_creation,pitch,lead_revenue,fund_category,geography,location,poc_name,designation,hiring_candidate_role,lead_source,level_of_meeting,last_lead_update,internal_poc,resource,internal_rating,success_probability
Sales/Marketing Services,90674.0,630184.3,2019-08-22,Product_2,100 - 500 Million,Category 4,USA,"Colorado Springs, CO",Michael Paul,SVP/General Counsel,"Education officer, environmental",Marketing Event,Level 3,?,"Ross,Eric L",No,2,68.6
Other,199688.0,1327925.2,2019-08-22,Product_2,500 Million - 1 Billion,Category 3,India,Madurai,mamata,CEO,Adult nurse,Marketing Event,Level 3,Up-to-date,"Himes,Maurice C",Yes,3,66.7
Information Services,285103.0,1667852.55,2019-08-22,Product_2,50 - 100 Million,Category 3,USA,"Knoxville, TN",David White,CEO,"Buyer, industrial",Contact Email,Level 1,5 days back,"Hameier,Kurt E",Yes,3,64.1
Architecture/Engineering,95829.0,613305.6,2019-08-22,Product_2,100 - 500 Million,Category 1,India,Hata,nisha,CEO,Operations geologist,Marketing Event,Level 1,No track,"Davis,Sharrice A",No,3,63.900000000000006
Architecture/Engineering,215841.0,1327422.15,2019-08-22,Product_1,500 Million - 1 Billion,Category 2,India,Kagaznagar,babbi,SVP/General Counsel,Community pharmacist,Website,Level 2,More than a week back,"Ali,Mohamed",Yes,4,65.8
Education/Training,421100.0,2673985.0,2019-08-22,Product_2,500 Million - 1 Billion,Category 2,USA,"Appleton, WI",Billy Mills,CEO,"Librarian, public",Website,Level 2,?,"Abdul-Hamid,Saud Muhamad",No,4,72.8
Industrial Equip,145032.0,746914.8,2019-08-22,Product_1,50 - 100 Million,Category 2,India,Parbhani,kumari manjeet,CEO,Plant breeder/geneticist,Others,Level 1,5 days back,"Carter Sr,Clifton E",No,2,56.7
Insurance,338334.0,2148420.9,2019-08-23,Product_1,100 - 500 Million,Category 3,USA,"Ithaca, NY",Claudia Bowman,CEO,Trading standards officer,Website,Level 2,No track,"Jones,Eyvette W",Yes,4,69.9
Banks,375694.0,2310518.1,2019-08-23,Product_1,100 - 500 Million,Category 3,India,Faridabad,smt. jhamaku,CEO,Research scientist (life sciences),Website,Level 2,More than 2 weeks,"Houston,Arnold E",No,3,62.900000000000006
Networking/Comm.,195315.0,,2019-08-23,Product_2,100 - 500 Million,Category 1,India,Tiruvannamalai,pooja,SVP/General Counsel,"Teacher, music",Others,Level 1,No track,"Ullrich,Rose Anne",Yes,3,61.900000000000006
Banks,282940.0,1527876.0,2019-08-23,Product_2,500 Million - 1 Billion,Category 2,India,Lucknow,sonia,CEO,"Geneticist, molecular",Others,Level 1,more than a month,"Jones,Michael L",Yes,2,58.6
Electronics,,1666770.6,2019-08-23,Product_1,100 - 500 Million,Category 1,India,Saharanpur,smt sunita,CEO,"Nurse, adult",Marketing Event,Level 2,more than a month,"Cash,Tyrone J",Yes,4,26.35
Banks,252678.0,1692942.6,2019-08-23,Product_2,500 Million - 1 Billion,Category 3,USA,"Salinas, CA",Michelle Adams,SVP/General Counsel,Hydrologist,Marketing Event,Level 2,No track,"Irizarry,Yolanda",Yes,5,73.1
Financial Services,111091.0,755418.8,2019-08-23,Product_2,50 - 100 Million,Category 4,USA,"Huntington-Ashland, WV-KY-OH",Erik Rodriguez,SVP/General Counsel,Clinical psychologist,Marketing Event,Level 3,?,"Thomas,Lori E",No,1,68.1
Staffing,311937.0,1778040.9,2019-08-23,Product_1,50 - 100 Million,Category 2,India,Nizamabad,seema,CEO,Field trials officer,Website,Level 2,2 days back,"Turner,Marlon D",No,2,60.7
Investment Bank/Brokerage,33557.0,199664.15,2019-08-24,Product_1,50 - 100 Million,Category 2,USA,"Gainesville, FL",Heidi Cummings,CEO,"Production designer, theatre/television/film",Marketing Event,Level 2,,"Jones,Michael L",Yes,4,67.6
Periodicals,368976.0,2398344.0,2019-08-24,Product_1,100 - 500 Million,Category 3,USA,"Lawrence, KS",Erin Snyder,CEO,Horticultural consultant,Website,Level 3,2 days back,"Gaskins Jr,Franklin D",No,1,69.4
Hotels/Motels,465002.0,2883012.4,2019-08-24,Product_2,100 - 500 Million,Category 4,India,Karnal,sabiya,CEO,"Civil engineer, contracting",Others,Level 2,2 days back,"Logan,Kevin N",Yes,3,60.1
Banks,67724.0,467295.6,2019-08-24,Product_1,50 - 100 Million,Category 4,USA,"Chambersburg-Waynesboro, PA",Jonathan Gomez,CEO,"Horticulturist, amenity",Marketing Event,Level 3,Up-to-date,"Shelton,Sidney P",No,4,69.3
Iron/Steel,,668538.0,2019-08-24,Product_2,100 - 500 Million,Category 1,India,Akola,kamakshya @ mona,SVP/General Counsel,Insurance account manager,Others,Level 2,No track,"Dunaway,Antoine",Yes,1,60.400000000000006
Biotech/Healthcare,31830.0,197346.0,2019-08-24,Product_2,50 - 100 Million,Category 1,USA,"Salisbury, MD-DE",Brandon Mason,SVP/General Counsel,Police officer,Others,Level 3,more than a month,"Charles,Caleb",No,2,66.6
Financial Services,161399.0,976463.95,2019-08-25,Product_1,50 - 100 Million,Category 4,India,Hyderabad,rukshar,SVP/General Counsel,Chief Strategy Officer,Contact Email,Level 1,No track,"Smith,Keenan H",Yes,3,56.6
Banks,29271.0,190261.5,2019-08-25,Product_2,100 - 500 Million,Category 3,USA,"Auburn-Opelika, AL",Rebecca Hood,CEO,"Scientist, product/process development",Website,Level 3,No track,"Jones,Eyvette W",,3,69.6
Trucking,468079.0,3206341.15,2019-08-25,Product_1,500 Million - 1 Billion,Category 4,India,Rampura,guni divy,SVP/General Counsel,Occupational hygienist,Marketing Event,Level 3,More than 2 weeks,"Sutton,Michelle R",No,2,63.0
Banks,33582.0,196454.7,2019-08-25,Product_2,50 - 100 Million,Category 2,India,Bakshpur,ritu kumari,CEO,Television floor manager,Website,Level 3,No track,"Featherstone,Adrian R",No,2,60.400000000000006
Banks,497604.0,3508108.2,2019-08-25,Product_1,500 Million - 1 Billion,Category 4,,Bengaluru,aayesha khatun,SVP/General Counsel,"Pilot, airline",Contact Email,Level 3,,"Georgakopoulos,Vasilios T",Yes,5,65.0
eCommerce,239984.0,1319912.0,2019-08-25,Product_1,100 - 500 Million,Category 2,India,Kagaznagar,sangita,CEO,Outdoor activities/education manager,Contact Email,Level 1,5 days back,"Thomas,Lori E",Yes,1,55.900000000000006
Banks,387862.0,2249599.6,2019-08-25,Product_2,50 - 100 Million,Category 3,India,Warangal,soni,SVP/General Counsel,Radio broadcast assistant,Website,Level 1,more than a month,"Ross,Eric L",Yes,3,60.7
Insurance,253291.0,1557739.65,2019-08-25,Product_2,100 - 500 Million,Category 3,,Chennai,monika mishra,CEO,Air cabin crew,Contact Email,Level 3,2 days back,"Hameier,Kurt E",No,2,58.8
Telecom Hardware,484006.0,2807234.8,2019-08-25,Product_1,100 - 500 Million,Category 3,India,Bijapur,sarita kumari,CEO,"Civil engineer, contracting",Contact Email,Level 2,5 days back,"Abdul-Hamid,Saud Muhamad",No,2,56.1
Healthcare Facilities/Services,236368.0,1489118.4,2019-08-25,Product_1,500 Million - 1 Billion,Category 4,USA,"Olympia-Tumwater, WA",Wayne Best,SVP/General Counsel,Research scientist (medical),Contact Email,Level 1,No track,"Shelton,Sidney P",No,2,26.35
Hotels/Motels,428258.0,2805089.9,2019-08-25,Product_2,100 - 500 Million,Category 1,USA,"Longview, WA",Amanda Lopez,CEO,Chief Strategy Officer,Website,Level 1,More than 2 weeks,"Salyers,Daniel L",No,4,71.2
REIT,420206.0,2710328.7,2019-08-26,Product_2,100 - 500 Million,Category 2,USA,"Billings, MT",Brian Dean,CEO,"Nurse, children's",Website,Level 2,5 days back,"Rocks,Michael J",No,5,73.5
Lending/Mortgage,395560.0,,2019-08-26,Product_1,500 Million - 1 Billion,Category 2,USA,"Kokomo, IN",Melissa Lopez,CEO,Chief Operating Officer,Marketing Event,Level 2,No track,"Salyers,Daniel L",Yes,5,74.6
Investment Bank/Brokerage,312696.0,1969984.8,2019-08-26,Product_2,500 Million - 1 Billion,Category 1,USA,"St. Cloud, MN",Teresa Holmes,SVP/General Counsel,"Education officer, museum",Others,Level 2,No track,"Jones,Michael L",No,2,68.8
Other,279077.0,,2019-08-26,Product_2,100 - 500 Million,Category 1,,Agartala,anita,CEO,"Librarian, public",Others,Level 2,No track,"Brown,Maxine A",No,4,63.6
Banks,353052.0,2559627.0,2019-08-26,Product_1,500 Million - 1 Billion,Category 1,,Delhi,dali devi,SVP/General Counsel,Advertising account executive,Marketing Event,Level 3,No track,"Murray,Younetta",Yes,5,71.8
Banks,307177.0,1858420.85,2019-08-26,Product_2,50 - 100 Million,Category 1,USA,"Kennewick-Richland, WA",Jesse Crawford,CEO,Mental health nurse,Contact Email,Level 1,more than a month,"Dimattia,Frank D",Yes,2,63.900000000000006
Real Estate,121052.0,,2019-08-26,Product_1,500 Million - 1 Billion,Category 1,India,Cuddalore,seema,CEO,Electrical engineer,Marketing Event,Level 1,?,"Dunaway,Antoine",No,2,62.1
Insurance,46092.0,306511.8,2019-08-26,Product_1,500 Million - 1 Billion,Category 4,India,Ratlam,jagviri,CEO,Counsellor,Others,Level 3,No track,"Irizarry,Yolanda",Yes,5,63.3
Hotels/Motels,95327.0,,2019-08-26,Product_1,100 - 500 Million,Category 4,India,Muzaffarpur,parveen khatun,CEO,"Research officer, government",Contact Email,Level 1,Up-to-date,"Cash,Tyrone J",Yes,2,53.9
Insurance,188163.0,1251283.95,2019-08-26,Product_2,50 - 100 Million,Category 4,India,Ghaziabad,smt bhiwani,CEO,Health service manager,Marketing Event,Level 2,More than a week back,"Himes,Maurice C",No,5,63.7
Chemical Manufacturing,385531.0,2351739.1,2019-08-27,Product_1,500 Million - 1 Billion,Category 3,,Patna,poonam,CEO,"Designer, blown glass/stained glass",Marketing Event,Level 1,No track,"Vickers Jr.,Henry J",Yes,3,62.3
Hospitals/Clinics,49378.0,303674.7,2019-08-27,Product_1,500 Million - 1 Billion,Category 2,India,Nanded,usha,SVP/General Counsel,Restaurant manager,Marketing Event,Level 3,more than a month,"Charles,Caleb",Yes,2,62.0
Hotels/Motels,287791.0,,2019-08-27,Product_1,100 - 500 Million,Category 3,,"Spokane-Spokane Valley, WA",Ryan Johnson,CEO,Applications developer,Marketing Event,Level 3,No track,"Morsy,Omar A",No,5,74.4
Other Biz Services,11691.0,64885.05,2019-08-27,Product_2,100 - 500 Million,Category 3,India,Agra,kanta bai,SVP/General Counsel,Glass blower/designer,Website,Level 1,2 days back,"Cash,Tyrone J",No,1,107.34
Outsourcing,175960.0,1170134.0,2019-08-27,Product_1,500 Million - 1 Billion,Category 4,India,Ratlam,sony,CEO,Call centre manager,Others,Level 3,?,"Knox,Antonio D",No,3,107.34
Banks,497932.0,3261454.6,2019-08-27,Product_2,100 - 500 Million,Category 1,USA,"Montgomery, AL",John Wilson,CEO,Immunologist,Website,Level 2,2 days back,"Maine,John P",Yes,2,107.34
Banks,263604.0,1687065.6,2019-08-27,Product_1,50 - 100 Million,Category 1,USA,"Visalia-Porterville, CA",Samantha Rivera,SVP/General Counsel,Chief Executive Officer,Website,Level 1,Up-to-date,"Heidelberg,Andre D",,3,70.7
Banks,496747.0,3601415.75,2019-08-27,Product_2,500 Million - 1 Billion,Category 1,USA,"Salisbury, MD-DE",Kevin Martinez,CEO,Proofreader,Marketing Event,Level 3,No track,"Booker,David L",No,3,76.7
Banks,456350.0,,2019-08-27,Product_1,100 - 500 Million,Category 2,USA,"Oxnard-Thousand Oaks-Ventura, CA",Rachel Torres,CEO,Publishing copy,Contact Email,Level 3,No track,"Georgakopoulos,Vasilios T",No,1,67.3
Electronics,277210.0,1940470.0,2019-08-28,Product_2,500 Million - 1 Billion,Category 1,India,Kollam,kajal,CEO,Visual merchandiser,Website,Level 3,No track,"Irizarry,Yolanda",Yes,3,70.0
Recreational Products,496033.0,2827388.1,2019-08-28,Product_2,50 - 100 Million,Category 2,India,Davangere,madhuri,SVP/General Counsel,Social worker,Website,Level 2,More than 2 weeks,"Knox,Antonio D",Yes,2,26.35
Other,303574.0,1897337.5,2019-08-28,Product_2,500 Million - 1 Billion,Category 1,,Raurkela,gaytri bai,CEO,English as a foreign language teacher,Website,Level 1,More than 2 weeks,"Dunaway,Antoine",Yes,1,62.400000000000006
Banks,147565.0,863255.25,2019-08-28,Product_1,50 - 100 Million,Category 1,,Thanjavur,swati,CEO,"Investment banker, corporate",Others,Level 1,more than a month,"Heidelberg,Andre D",No,4,61.400000000000006
Hospitals/Clinics,281378.0,1603854.6,2019-08-28,Product_1,500 Million - 1 Billion,Category 3,USA,"Killeen-Temple, TX",Laurie Farmer,CEO,"Therapist, art",Others,Level 1,2 days back,"Green,Candy",Yes,2,64.1
Healthcare Facilities/Services,30917.0,194777.1,2019-08-28,Product_2,500 Million - 1 Billion,Category 2,India,Nellore,meenu,SVP/General Counsel,Accommodation manager,Website,Level 3,5 days back,"Gilley,Janine",Yes,4,65.5
Banks,78935.0,505184.0,2019-08-28,Product_1,100 - 500 Million,Category 4,India,Patiala,suman,CEO,Technical author,Marketing Event,Level 2,More than 2 weeks,"Green,Ann E",No,2,26.35
Services,248286.0,1464887.4,2019-08-28,Product_2,500 Million - 1 Billion,Category 3,,"Kingsport-Bristol-Bristol, TN-VA",Aaron Bennett,CEO,"Engineer, technical sales",Others,Level 2,No track,"Hebron,Artenia D",No,1,65.8
Venture Capital,25482.0,155440.2,2019-08-28,Product_2,50 - 100 Million,Category 2,USA,"Austin-Round Rock, TX",Angela Davis,CEO,Neurosurgeon,Contact Email,Level 3,Up-to-date,"Sutton,Michelle R",Yes,4,107.34
Furniture/Fixtures,361578.0,2187546.9,2019-08-28,Product_1,50 - 100 Million,Category 4,India,Agra,sushri manju,CEO,Community development worker,Others,Level 1,2 days back,"Jones,Michael L",No,5,60.0
Constr - Supplies,11510.0,71937.5,2019-08-29,Product_1,50 - 100 Million,Category 1,USA,"Palm Bay-Melbourne-Titusville, FL",Christopher Gardner,CEO,"Engineer, maintenance (IT)",Marketing Event,Level 1,No track,"Davis,Brian R",No,3,67.4
Banks,490822.0,3411212.9,2019-08-29,Product_2,100 - 500 Million,Category 3,USA,"San Francisco-Oakland-Hayward, CA",Kendra Mitchell,CEO,Licensed conveyancer,Marketing Event,Level 3,More than a week back,"Featherstone,Adrian R",Yes,5,74.4
Banks,446718.0,,2019-08-29,Product_1,100 - 500 Million,Category 3,USA,"Binghamton, NY",Eric Garcia,CEO,"Designer, interior/spatial",Others,Level 1,No track,"Houston,Arnold E",No,3,65.9
Banks,332188.0,1943299.8,2019-08-29,Product_1,100 - 500 Million,Category 2,India,Shillong ,punita,CEO,"Engineer, agricultural",Website,Level 1,Up-to-date,"Brown,Maxine A",,3,62.7
Technology Consulting,78854.0,492837.5,2019-08-29,Product_1,100 - 500 Million,Category 2,USA,"Anniston-Oxford-Jacksonville, AL",Shannon Lee,CEO,Clinical molecular geneticist,Website,Level 2,No track,"Gilley,Janine",Yes,3,71.4
Food Processing,358892.0,2368687.2,2019-08-29,Product_1,100 - 500 Million,Category 4,USA,"Grand Junction, CO",Cynthia Middleton,CEO,Retail buyer,Contact Email,Level 2,More than a week back,"Young,Valerie K",No,3,65.8
Software,365463.0,2265870.6,2019-08-30,Product_2,100 - 500 Million,Category 2,India,Bhilwara,leela,SVP/General Counsel,"Geneticist, molecular",Website,Level 3,No track,"Kiepea,Prince A",Yes,2,63.900000000000006
Personal Services,224682.0,1426730.7,2019-08-30,Product_1,500 Million - 1 Billion,Category 2,India,Kavaratti,alka,CEO,"Doctor, general practice",Contact Email,Level 3,No track,"Gould,Lisa D",Yes,3,64.9
Banks,293510.0,2083921.0,2019-08-30,Product_1,100 - 500 Million,Category 1,India,Proddatur,arsi praveen,CEO,Community education officer,Website,Level 3,No track,"Cashin,Marc C",No,5,70.7
Banks,466794.0,2987481.6,2019-08-30,Product_2,100 - 500 Million,Category 2,,Hindupur,sangeeta kumari,SVP/General Counsel,Museum/gallery exhibitions officer,Website,Level 3,No track,"Sutton,Michelle R",No,4,67.1
SaaS,271467.0,1655948.7,2019-08-30,Product_1,500 Million - 1 Billion,Category 3,USA,"Williamsport, PA",Ronnie Barnett DDS,SVP/General Counsel,"Scientist, forensic",Others,Level 2,No track,"Ullrich,Rose Anne",No,3,107.34
Insurance,309253.0,1886443.3,2019-08-30,Product_1,500 Million - 1 Billion,Category 3,,Sirsa,chanchal,CEO,Community education officer,Marketing Event,Level 2,more than a month,"Featherstone,Adrian R",No,1,60.8
Insurance,190240.0,1274608.0,2019-08-30,Product_1,500 Million - 1 Billion,Category 1,India,Fyzabad,smt. hemlata,CEO,Wellsite geologist,Marketing Event,Level 1,Up-to-date,"Rocks,Michael J",Yes,5,67.4
Social Services,439104.0,2546803.2,2019-08-30,Product_1,100 - 500 Million,Category 3,India,Jorapokhar,nisha alongwith muskan age-3 yrs.,SVP/General Counsel,"Radiographer, diagnostic",Others,Level 1,more than a month,"Ryker,David",Yes,5,61.0
Lending/Mortgage,206750.0,1333537.5,2019-08-30,Product_2,100 - 500 Million,Category 2,USA,"Florence, SC",James Graves,CEO,"Geologist, wellsite",Marketing Event,Level 3,,"Clavey,Therese A",Yes,2,70.6
Banks,238184.0,1476740.8,2019-08-31,Product_2,500 Million - 1 Billion,Category 2,USA,"Pensacola-Ferry Pass-Brent, FL",Jeffery Walton,CEO,"Surveyor, minerals",Marketing Event,Level 2,No track,"Booker,David L",No,1,69.3
Database,196703.0,1091701.65,2019-08-31,Product_2,50 - 100 Million,Category 2,India,Warangal,khushbu rani,CEO,Recruitment consultant,Contact Email,Level 1,,"Georgakopoulos,Vasilios T",No,4,58.6
Banks,195015.0,1306600.5,2019-08-31,Product_1,500 Million - 1 Billion,Category 1,USA,"Bakersfield, CA",Jennifer Rush,CEO,Seismic interpreter,Contact Email,Level 1,2 days back,"Hanyok,John J",Yes,5,107.34
Banks,363994.0,2129364.9,2019-08-31,Product_2,50 - 100 Million,Category 4,USA,"Greenville-Anderson-Mauldin, SC",Haley Jones,SVP/General Counsel,Nutritional therapist,Others,Level 1,Up-to-date,"Houston,Arnold E",Yes,1,61.7
Education/Training,30835.0,181926.5,2019-08-31,Product_2,100 - 500 Million,Category 2,USA,"Grand Forks, ND-MN",Erica Green,CEO,"Programmer, systems",Marketing Event,Level 2,more than a month,"Ross,Eric L",No,2,64.9
Energy,115288.0,760900.8,2019-08-31,Product_2,500 Million - 1 Billion,Category 3,India,Rajkot,khusbhu,SVP/General Counsel,Applications developer,Website,Level 3,5 days back,"Moran,Natalie A",No,4,67.0
Education/Training,494591.0,3165382.4,2019-08-31,Product_1,50 - 100 Million,Category 3,,"Parkersburg-Vienna, WV",Benjamin Johnson,SVP/General Counsel,Licensed conveyancer,Website,Level 2,2 days back,"Hebron,Artenia D",No,5,71.5
Packaging/Containers,83957.0,528929.1,2019-08-31,Product_1,500 Million - 1 Billion,Category 1,India,Bharauri,farjana,SVP/General Counsel,Psychiatric nurse,Others,Level 2,More than 2 weeks,"Hanyok,John J",No,4,65.0
Hospitals/Clinics,200817.0,1245065.4,2019-08-31,Product_2,100 - 500 Million,Category 1,India,Chennai,rekha,CEO,Production engineer,Marketing Event,Level 1,,"Booker,David L",No,1,60.7
Packaging/Containers,186642.0,,2019-08-31,Product_2,500 Million - 1 Billion,Category 1,,"Charleston, WV",Samantha Lester,CEO,"Engineer, production",Marketing Event,Level 1,5 days back,"Bannister,Joan",Yes,5,26.35
Financial Services,55972.0,355422.2,2019-09-01,Product_1,500 Million - 1 Billion,Category 1,USA,"Dalton, GA",Deborah Wyatt,SVP/General Counsel,Field trials officer,Website,Level 1,More than 2 weeks,"Dyson,William A",Yes,1,67.4
Web Development,111274.0,689898.8,2019-09-01,Product_2,50 - 100 Million,Category 3,USA,"Monroe, MI",Deborah Mcclain,CEO,Chief of Staff,Others,Level 3,5 days back,"Jones,Eyvette W",Yes,4,69.8
Real Estate,32556.0,195336.0,2019-09-01,Product_1,100 - 500 Million,Category 1,India,Haora,sama parveen,CEO,"Psychologist, educational",Marketing Event,Level 1,More than 2 weeks,"Cashin,Marc C",No,1,57.7
Gold/Silver,153496.0,859577.6,2019-09-01,Product_2,100 - 500 Million,Category 3,India,Muzaffarnagar,pratibha pareek,SVP/General Counsel,Multimedia programmer,Others,Level 1,Up-to-date,"Charles,Caleb",No,4,58.900000000000006
Banks,340330.0,,2019-09-01,Product_1,50 - 100 Million,Category 3,,"Burlington-South Burlington, VT",Cindy Peterson,CEO,Data processing manager,Website,Level 3,Up-to-date,"Georgakopoulos,Vasilios T",Yes,2,107.34
Insurance,488890.0,2957784.5,2019-09-01,Product_1,50 - 100 Million,Category 1,India,Dibrugarh,aasha,CEO,Arboriculturist,Contact Email,Level 2,2 days back,"Logan,Kevin N",Yes,2,107.34
Banks,221204.0,1415705.6,2019-09-01,Product_1,100 - 500 Million,Category 1,India,Vellore,mamta,SVP/General Counsel,"Scientist, biomedical",Contact Email,Level 2,?,"Green,Ann E",No,4,62.3
Chemical Manufacturing,227642.0,1627640.3,2019-09-01,Product_2,100 - 500 Million,Category 1,India,Chandigarh ,varsha,SVP/General Counsel,Tour manager,Marketing Event,Level 3,No track,"Knox,Antonio D",Yes,5,70.4
Warehousing/Logistics,45892.0,252406.0,2019-09-01,Product_2,100 - 500 Million,Category 2,India,Ghaziabad,smt. rekha,CEO,"Psychologist, counselling",Contact Email,Level 1,No track,"Heidelberg,Andre D",Yes,3,107.34
Other Biz Services,47070.0,303601.5,2019-09-01,Product_2,50 - 100 Million,Category 4,USA,"New Bern, NC",Brittney Harrington,SVP/General Counsel,Soil scientist,Contact Email,Level 2,?,"Pappas,Mark S",Yes,5,64.4
Medical Equipment,314303.0,2011539.2,2019-09-02,Product_2,100 - 500 Million,Category 1,,"Lakeland-Winter Haven, FL",Justin Davis,SVP/General Counsel,Clinical psychologist,Contact Email,Level 1,No track,"Morsy,Omar A",,3,67.6
Utilities,293849.0,1792478.9,2019-09-02,Product_1,100 - 500 Million,Category 2,India,Baramula,roshan,SVP/General Counsel,"Investment banker, operational",Marketing Event,Level 2,?,"Jones,Eyvette W",Yes,3,64.1
Financial Services,379828.0,,2019-09-02,Product_1,500 Million - 1 Billion,Category 4,India,Bhusaval,seema,CEO,Music therapist,Website,Level 2,5 days back,"Georgakopoulos,Vasilios T",Yes,4,63.8
Beverages (Alcoholic),299240.0,2049794.0,2019-09-02,Product_2,500 Million - 1 Billion,Category 4,USA,"Grand Island, NE",Kelly Johnson,CEO,Sports coach,Contact Email,Level 3,No track,"Charles,Caleb",No,1,66.7
Packaging/Containers,269904.0,1956804.0,2019-09-02,Product_1,500 Million - 1 Billion,Category 1,,"St. Cloud, MN",Anne Ramos,CEO,"Research officer, political party",Contact Email,Level 3,2 days back,"Green,Ann E",No,5,75.5
Architecture/Engineering,262948.0,1498803.6,2019-09-02,Product_2,50 - 100 Million,Category 2,India,Agartala,aaradhana @ priyanka,SVP/General Counsel,Electronics engineer,Others,Level 3,More than a week back,"Bannister,Joan",Yes,1,61.1
Real Estate,111749.0,715193.6,2019-09-02,Product_2,50 - 100 Million,Category 4,India,Shimla,smt. sheetal,CEO,Midwife,Contact Email,Level 3,More than a week back,"Hanyok,John J",Yes,2,57.8
Banks,22192.0,148686.4,2019-09-02,Product_2,500 Million - 1 Billion,Category 1,,Cuddalore,rajni,CEO,Landscape architect,Marketing Event,Level 2,5 days back,"Green,Candy",Yes,5,26.35
Banks,482581.0,3064389.35,2019-09-02,Product_1,500 Million - 1 Billion,Category 2,India,Akola,neha,CEO,"Research officer, government",Contact Email,Level 3,No track,"Cash,Tyrone J",Yes,3,107.34
Other Investment Firms,45141.0,279874.2,2019-09-02,Product_1,100 - 500 Million,Category 4,India,Adilabad,himani,SVP/General Counsel,"Therapist, sports",Contact Email,Level 2,2 days back,"Jones,Eyvette W",No,4,55.8
Online Banking,391436.0,,2019-09-03,Product_2,500 Million - 1 Billion,Category 4,USA,"Gainesville, GA",Debra Yates,SVP/General Counsel,Theatre manager,Contact Email,Level 2,More than a week back,"Tondeur,Keith D",No,1,64.0
Biotech/Healthcare,128787.0,792040.05,2019-09-03,Product_1,50 - 100 Million,Category 2,,Ajmer,rakhi,CEO,Counselling psychologist,Marketing Event,Level 2,Up-to-date,"Logan,Kevin N",No,5,65.7
Software,398335.0,2728594.75,2019-09-03,Product_1,500 Million - 1 Billion,Category 4,USA,"Flint, MI",Javier Rodriguez,CEO,Lobbyist,Website,Level 1,more than a month,"Kiepea,Prince A",No,5,71.2
Real Estate,28178.0,176112.5,2019-09-03,Product_1,100 - 500 Million,Category 2,India,Belgaum,ruksar bano,CEO,"Buyer, retail",Contact Email,Level 3,,"Carter Sr,Clifton E",No,5,62.6
Networking/Comm.,174251.0,1193619.35,2019-09-03,Product_1,500 Million - 1 Billion,Category 1,USA,"Chicago-Naperville-Elgin, IL-IN-WI",Tiffany Boyd,CEO,Futures trader,Others,Level 3,5 days back,"Himes,Maurice C",Yes,3,74.7
Biotech/Healthcare,273566.0,1545647.9,2019-09-04,Product_1,100 - 500 Million,Category 2,India,Raurkela,anju,CEO,Surgeon,Website,Level 1,?,"McKenstry,Loretta A",No,2,59.5
Medical Equipment,499400.0,3096280.0,2019-09-04,Product_1,100 - 500 Million,Category 4,USA,"Lafayette, LA",Lindsey Ryan,CEO,Manufacturing systems engineer,Others,Level 1,No track,"Massiah,Gerard F",No,3,65.4
Auto Parts/Services,396337.0,,2019-09-04,Product_2,500 Million - 1 Billion,Category 2,USA,"Chattanooga, TN-GA",Wendy Robinson,CEO,Probation officer,Website,Level 3,5 days back,"Gaskins Jr,Franklin D",No,5,26.35
Materials/Manufacturing,208991.0,1149450.5,2019-09-04,Product_2,100 - 500 Million,Category 2,India,Dispur,smt. seema,SVP/General Counsel,"Programmer, multimedia",Others,Level 2,more than a month,"Murray,Younetta",Yes,1,107.34
Constr - Supplies,233473.0,1599290.05,2019-09-04,Product_1,500 Million - 1 Billion,Category 1,USA,"Springfield, MO",Sandra Goodwin,CEO,Maintenance engineer,Website,Level 1,Up-to-date,"Jones,Michael L",No,5,74.7
REIT,451105.0,2751740.5,2019-09-04,Product_1,500 Million - 1 Billion,Category 1,India,Bellary,madhu,CEO,"Teacher, primary school",Contact Email,Level 1,,"Smith,Keenan H",Yes,1,58.8
Software,422035.0,2869838.0,2019-09-04,Product_1,50 - 100 Million,Category 1,USA,"Springfield, MA",Angela Price,SVP/General Counsel,"Production assistant, television",Contact Email,Level 3,5 days back,"Morsy,Omar A",Yes,4,71.5
Staffing,340544.0,2145427.2,2019-09-05,Product_2,500 Million - 1 Billion,Category 3,India,Raichur,foranti,CEO,Public affairs consultant,Contact Email,Level 2,Up-to-date,"Tondeur,Keith D",No,5,8.0
Industrial Equip,483730.0,2781447.5,2019-09-05,Product_2,50 - 100 Million,Category 2,,"Huntsville, AL",Julie Taylor,SVP/General Counsel,Phytotherapist,Marketing Event,Level 1,5 days back,"Jones,Eyvette W",Yes,2,65.7
Network Infrastructure,482256.0,2989987.2,2019-09-05,Product_1,50 - 100 Million,Category 4,India,Kohima,priti,SVP/General Counsel,Research scientist (medical),Others,Level 3,more than a month,"Anthony,Katherine D",Yes,1,59.1
Non-Profit,235495.0,1566041.75,2019-09-06,Product_2,50 - 100 Million,Category 2,USA,"Charlotte-Concord-Gastonia, NC-SC",Katherine Houston,CEO,Air broker,Website,Level 3,More than a week back,"Kiepea,Prince A",Yes,5,75.7
Health/Accident,218936.0,1357403.2,2019-09-06,Product_2,50 - 100 Million,Category 4,India,Shahbazpur,roshani,CEO,Chief Financial Officer,Website,Level 1,more than a month,"Massiah,Gerard F",No,3,60.2
